"logloss";"eta";"max_depth";"subsample";"colsample_bytree";"objective";"eval_metric";"num_class";"nthread";"tree_method";"silent"
0,823181;0,1;6;0,8;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,833006;0,1;6;0,9;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,821433;0,1;6;0,9;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,817844;0,1;6;0,9;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,824396;0,1;6;0,9;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,81902;0,1;6;0,9;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,82143;0,1;6;0,9;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,819394;0,1;6;0,9;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,817816;0,1;6;0,9;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,813892;0,1;6;0,9;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,813056;0,1;6;0,9;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,831896;0,1;6;1;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,828779;0,1;6;1;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,819961;0,1;6;1;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,81855;0,1;6;1;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,819378;0,1;6;1;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,820913;0,1;6;1;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,818023;0,1;6;1;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,819574;0,1;6;1;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,821167;0,1;6;1;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,817883;0,1;6;1;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,865579;0,1;8;0,1;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,833785;0,1;8;0,1;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,846845;0,1;8;0,1;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,826787;0,1;8;0,1;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,826129;0,1;8;0,1;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,819914;0,1;8;0,1;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,829571;0,1;8;0,1;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,818201;0,1;8;0,1;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,823203;0,1;8;0,1;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,815998;0,1;8;0,1;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,840206;0,1;8;0,2;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,820498;0,1;8;0,2;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,819258;0,1;8;0,2;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,815929;0,1;8;0,2;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,801769;0,1;8;0,2;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,804583;0,1;8;0,2;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,814256;0,1;8;0,2;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,819818;0,1;8;0,2;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,80833;0,1;8;0,2;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,819744;0,1;8;0,2;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,839145;0,1;8;0,3;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
0,815738;0,1;8;0,3;0,2;"multi:softmax";"mlogloss";3;2;"auto";1
0,81434;0,1;8;0,3;0,3;"multi:softmax";"mlogloss";3;2;"auto";1
0,81877;0,1;8;0,3;0,4;"multi:softmax";"mlogloss";3;2;"auto";1
0,813873;0,1;8;0,3;0,5;"multi:softmax";"mlogloss";3;2;"auto";1
0,805477;0,1;8;0,3;0,6;"multi:softmax";"mlogloss";3;2;"auto";1
0,80512;0,1;8;0,3;0,7;"multi:softmax";"mlogloss";3;2;"auto";1
0,804004;0,1;8;0,3;0,8;"multi:softmax";"mlogloss";3;2;"auto";1
0,801991;0,1;8;0,3;0,9;"multi:softmax";"mlogloss";3;2;"auto";1
0,79962;0,1;8;0,3;1;"multi:softmax";"mlogloss";3;2;"auto";1
0,834756;0,1;8;0,4;0,1;"multi:softmax";"mlogloss";3;2;"auto";1
